"Time of Event";"Server ID";"Rank";"CPU";;"Latency";"Request Serving Time"
153;0;196.6866828624;5.0512429828;;10.791298;3.357936
153;0;196.6866828624;5.0512429828;;10.791298;3.674695
153;0;197.1866828624;5.0512429828;;10.791298;3.446572
153;0;197.6866828624;5.0512429828;;10.791298;3.082228
153;0;198.1866828624;5.0512429828;;10.791298;3.042575
153;0;198.6866828624;5.0512429828;;10.791298;2.994525
153;0;199.1866828624;5.0512429828;;10.791298;2.907754
153;0;199.6866828624;5.0512429828;;10.791298;3.029047
153;0;200.1866828624;5.0512429828;;10.791298;3.455902
153;0;200.6866828624;5.0512429828;;10.791298;3.081762
153;0;201.1866828624;5.0512429828;;10.791298;3.138676
153;0;201.6866828624;5.0512429828;;10.791298;3.318282
153;0;202.1866828624;5.0512429828;;10.791298;3.137277
153;0;202.6866828624;5.0512429828;;10.791298;2.890026
153;1;193.3818706251;31.9839872468;;56.77654;85.142651
153;0;203.1866828624;5.0512429828;;10.791298;2.953938
153;0;203.6866828624;5.0512429828;;10.791298;2.922682
153;1;193.8818706251;31.9839872468;;56.77654;88.454403
153;0;204.1866828624;5.0512429828;;10.791298;3.046774
153;1;194.3818706251;31.9839872468;;56.77654;83.995038
153;0;204.6866828624;5.0512429828;;10.791298;2.981463
153;1;195.3818706251;31.9839872468;;56.77654;83.933925
153;0;205.1866828624;5.0512429828;;10.791298;3.031379
153;1;195.8818706251;31.9839872468;;56.77654;82.320269
153;1;194.8818706251;31.9839872468;;56.77654;92.751422
153;1;196.3818706251;31.9839872468;;56.77654;81.344797
153;1;196.8818706251;31.9839872468;;56.77654;81.295347
153;1;197.8818706251;31.9839872468;;56.77654;70.687388
153;1;198.3818706251;31.9839872468;;56.77654;68.401491
153;1;198.8818706251;31.9839872468;;56.77654;69.623279
153;1;199.3818706251;31.9839872468;;56.77654;67.310792
153;1;197.3818706251;31.9839872468;;56.77654;86.581833
153;1;199.8818706251;31.9839872468;;56.77654;68.199492
153;1;200.3818706251;31.9839872468;;56.77654;66.421158
153;1;201.3818706251;31.9839872468;;56.77654;63.194778
153;1;201.8818706251;31.9839872468;;56.77654;60.509549
153;1;202.3818706251;31.9839872468;;56.77654;60.61778
153;1;202.8818706251;31.9839872468;;56.77654;60.749802
153;1;203.3818706251;31.9839872468;;56.77654;61.652498
153;1;203.8818706251;31.9839872468;;56.77654;61.204183
153;1;200.8818706251;31.9839872468;;56.77654;85.818624
153;1;205.3818706251;31.9839872468;;56.77654;57.199198
153;1;204.8818706251;31.9839872468;;56.77654;67.728784
153;1;204.3818706251;31.9839872468;;56.77654;204.120305
154;0;205.6866828624;5.0512429828;;10.791298;3.253904
154;0;206.1866828624;5.0512429828;;10.791298;3.185327
154;0;206.6866828624;5.0512429828;;10.791298;3.462434
154;0;207.1866828624;5.0512429828;;10.791298;3.016451
154;0;207.6866828624;5.0512429828;;10.791298;3.000589
154;0;208.1866828624;5.0512429828;;10.791298;3.063101
154;0;208.6866828624;5.0512429828;;10.791298;3.026247
154;0;209.1866828624;5.0512429828;;10.791298;3.050039
154;0;209.6866828624;5.0512429828;;10.791298;2.974464
154;0;210.1866828624;5.0512429828;;10.791298;3.136343
154;0;210.6866828624;5.0512429828;;10.791298;2.961868
154;0;211.1866828624;5.0512429828;;10.791298;3.135877
154;0;211.6866828624;5.0512429828;;10.791298;2.986127
154;0;212.1866828624;5.0512429828;;10.791298;3.124214
154;0;212.6866828624;5.0512429828;;10.791298;3.161535
154;0;213.1866828624;5.0512429828;;10.791298;3.077563
154;0;213.6866828624;5.0512429828;;10.791298;3.029046
154;0;214.1866828624;5.0512429828;;10.791298;2.847574
154;0;214.6866828624;5.0512429828;;10.791298;3.071033
154;0;215.1866828624;5.0512429828;;10.791298;2.909154
154;1;205.8818706251;31.9839872468;;56.77654;61.01478
154;0;215.6866828624;5.0512429828;;10.791298;3.038843
154;1;206.8818706251;31.9839872468;;56.77654;60.522145
154;0;216.1866828624;5.0512429828;;10.791298;3.257636
154;1;207.3818706251;31.9839872468;;56.77654;60.825844
154;0;216.6866828624;5.0512429828;;10.791298;2.975397
154;1;207.8818706251;31.9839872468;;56.77654;61.997249
154;0;217.1866828624;5.0512429828;;10.791298;3.113951
154;0;217.6866828624;5.0512429828;;10.791298;3.033245
154;1;208.3818706251;31.9839872468;;56.77654;64.718865
154;0;218.1866828624;5.0512429828;;10.791298;2.876031
154;1;208.8818706251;31.9839872468;;56.77654;64.220167
154;0;218.6866828624;5.0512429828;;10.791298;2.911486
154;1;209.3818706251;31.9839872468;;56.77654;67.154044
154;0;219.1866828624;5.0512429828;;10.791298;2.918017
154;1;209.8818706251;31.9839872468;;56.77654;67.951309
154;0;219.6866828624;5.0512429828;;10.791298;2.979129
154;1;210.3818706251;31.9839872468;;56.77654;72.403676
154;0;220.1866828624;5.0512429828;;10.791298;2.994058
154;1;210.8818706251;31.9839872468;;56.77654;72.984481
154;1;211.3818706251;31.9839872468;;56.77654;74.162883
154;1;211.8818706251;31.9839872468;;56.77654;77.553475
154;1;212.3818706251;31.9839872468;;56.77654;77.07297
154;1;212.8818706251;31.9839872468;;56.77654;78.778529
154;1;213.3818706251;31.9839872468;;56.77654;79.931741
154;1;213.8818706251;31.9839872468;;56.77654;81.09055
154;1;214.3818706251;31.9839872468;;56.77654;86.044881
154;1;214.8818706251;31.9839872468;;56.77654;82.53673
154;1;215.3818706251;31.9839872468;;56.77654;82.329599
154;1;215.8818706251;31.9839872468;;56.77654;89.823141
154;1;216.3818706251;31.9839872468;;56.77654;89.6496
154;1;216.8818706251;31.9839872468;;56.77654;89.068329
154;1;217.3818706251;31.9839872468;;56.77654;88.941439
154;1;217.8818706251;31.9839872468;;56.77654;89.762495
154;1;218.3818706251;31.9839872468;;56.77654;90.161828
154;1;218.8818706251;31.9839872468;;56.77654;89.941169
154;1;219.3818706251;31.9839872468;;56.77654;89.857197
154;1;206.3818706251;31.9839872468;;56.77654;197.57471
154;1;219.8818706251;31.9839872468;;56.77654;968.256826
155;0;220.6866828624;5.0512429828;;10.791298;2.849907
155;0;221.1866828624;5.0512429828;;10.791298;2.875098
155;0;221.6866828624;5.0512429828;;10.791298;3.164334
155;0;222.1866828624;5.0512429828;;10.791298;3.14754
155;0;222.6866828624;5.0512429828;;10.791298;3.062169
155;0;223.1866828624;5.0512429828;;10.791298;2.985194
155;0;223.6866828624;5.0512429828;;10.791298;3.050039
155;0;224.1866828624;5.0512429828;;10.791298;3.364467
155;0;224.6866828624;5.0512429828;;10.791298;3.210052
155;0;225.1866828624;5.0512429828;;10.791298;3.266966
155;0;225.6866828624;5.0512429828;;10.791298;3.230578
155;0;226.1866828624;5.0512429828;;10.791298;3.281894
155;0;226.6866828624;5.0512429828;;10.791298;3.076164
155;0;227.1866828624;5.0512429828;;10.791298;3.040243
155;0;227.6866828624;5.0512429828;;10.791298;3.103688
155;0;228.1866828624;5.0512429828;;10.791298;3.207253
155;0;228.6866828624;5.0512429828;;10.791298;2.929213
155;0;229.1866828624;5.0512429828;;10.791298;3.038377
155;0;229.6866828624;5.0512429828;;10.791298;3.153138
155;0;230.1866828624;5.0512429828;;10.791298;3.000122
155;1;220.3818706251;31.9839872468;;56.77654;86.291664
155;0;230.6866828624;5.0512429828;;10.791298;2.955338
155;1;220.8818706251;31.9839872468;;56.77654;86.716655
155;0;231.1866828624;5.0512429828;;10.791298;2.976797
155;0;231.6866828624;5.0512429828;;10.791298;3.013651
155;1;221.3818706251;31.9839872468;;56.77654;94.714494
155;1;221.8818706251;31.9839872468;;56.77654;99.273691
155;1;222.3818706251;31.9839872468;;56.77654;95.557943
155;1;222.8818706251;31.9839872468;;56.77654;93.819729
155;1;223.3818706251;31.9839872468;;56.77654;92.631062
155;1;223.8818706251;31.9839872468;;56.77654;89.557697
155;1;225.3818706251;31.9839872468;;56.77654;80.82324
155;1;224.8818706251;31.9839872468;;56.77654;86.30426
155;1;224.3818706251;31.9839872468;;56.77654;94.754147
155;1;225.8818706251;31.9839872468;;56.77654;84.127527
155;1;226.3818706251;31.9839872468;;56.77654;82.042229
155;1;226.8818706251;31.9839872468;;56.77654;83.379246
155;1;227.3818706251;31.9839872468;;56.77654;83.396507
155;1;228.3818706251;31.9839872468;;56.77654;76.86724
155;1;228.8818706251;31.9839872468;;56.77654;75.145819
155;1;227.8818706251;31.9839872468;;56.77654;85.953445
155;1;229.3818706251;31.9839872468;;56.77654;346.166388
155;1;231.3818706251;31.9839872468;;56.77654;744.772178
155;1;230.8818706251;31.9839872468;;56.77654;846.236132
155;1;230.3818706251;31.9839872468;;56.77654;929.890151
155;1;229.8818706251;31.9839872468;;56.77654;978.56622
156;0;232.1866828624;5.0512429828;;10.791298;3.127479
156;0;232.6866828624;5.0512429828;;10.791298;3.173198
156;0;233.1866828624;5.0512429828;;10.791298;3.168532
156;0;233.6866828624;5.0512429828;;10.791298;3.064034
156;0;234.1866828624;5.0512429828;;10.791298;2.928747
156;0;234.6866828624;5.0512429828;;10.791298;3.07663
156;0;235.1866828624;5.0512429828;;10.791298;2.84011
156;0;235.6866828624;5.0512429828;;10.791298;3.265101
156;0;236.1866828624;5.0512429828;;10.791298;2.797657
156;0;236.6866828624;5.0512429828;;10.791298;3.300555
156;0;237.1866828624;5.0512429828;;10.791298;3.534276
156;0;237.6866828624;5.0512429828;;10.791298;3.144741
156;0;238.1866828624;5.0512429828;;10.791298;3.39339
156;0;238.6866828624;5.0512429828;;10.791298;3.261368
156;0;239.1866828624;5.0512429828;;10.791298;3.065434
156;0;239.6866828624;5.0512429828;;10.791298;3.011786
156;0;240.1866828624;5.0512429828;;10.791298;3.102755
156;0;240.6866828624;5.0512429828;;10.791298;3.189526
156;1;240.8818706251;31.9839872468;;56.77654;263.929158
156;1;239.8818706251;31.9839872468;;56.77654;275.504659
156;1;240.3818706251;31.9839872468;;56.77654;273.071345
156;1;239.3818706251;31.9839872468;;56.77654;280.420735
156;1;238.8818706251;31.9839872468;;56.77654;283.180139
156;1;237.8818706251;31.9839872468;;56.77654;292.252817
156;1;238.3818706251;31.9839872468;;56.77654;288.92847
156;1;236.3818706251;31.9839872468;;56.77654;301.826525
156;1;237.3818706251;31.9839872468;;56.77654;297.196418
